MXNET


TENSORFLOW
epoch   1, loss 0.5228, train acc 0.950, test acc 0.900
epoch   2, loss 0.5227, train acc 0.950, test acc 0.900
epoch   3, loss 0.5226, train acc 0.950, test acc 0.900
epoch   4, loss 0.5222, train acc 0.950, test acc 0.900
epoch   5, loss 0.5212, train acc 0.950, test acc 0.900
epoch   6, loss 0.5182, train acc 0.950, test acc 0.900
epoch   7, loss 0.5090, train acc 0.950, test acc 0.900
epoch   8, loss 0.4895, train acc 0.950, test acc 0.900
epoch   9, loss 0.4705, train acc 0.950, test acc 0.900
epoch  10, loss 0.4454, train acc 0.950, test acc 0.900
epoch  11, loss 0.4231, train acc 0.950, test acc 0.900
epoch  12, loss 0.4105, train acc 0.950, test acc 0.900
epoch  13, loss 0.3998, train acc 0.950, test acc 0.900
epoch  14, loss 0.3952, train acc 0.950, test acc 0.900
epoch  15, loss 0.4021, train acc 0.950, test acc 0.900
epoch  16, loss 0.3869, train acc 0.950, test acc 0.900
epoch  17, loss 0.3809, train acc 0.950, test acc 0.900
epoch  18, loss 0.3780, train acc 0.950, test acc 0.900
epoch  19, loss 0.3756, train acc 0.950, test acc 0.900
epoch  20, loss 0.3736, train acc 0.950, test acc 0.900
epoch  21, loss 0.3725, train acc 0.950, test acc 0.900
epoch  22, loss 0.3717, train acc 0.950, test acc 0.900
epoch  23, loss 0.3710, train acc 0.950, test acc 0.900
epoch  24, loss 0.3705, train acc 0.950, test acc 0.900
epoch  25, loss 0.3699, train acc 0.950, test acc 0.900
epoch  26, loss 0.3694, train acc 0.950, test acc 0.900
epoch  27, loss 0.3691, train acc 0.950, test acc 0.900
epoch  28, loss 0.3688, train acc 0.950, test acc 0.900
epoch  29, loss 0.3684, train acc 0.950, test acc 0.900
epoch  30, loss 0.3681, train acc 0.950, test acc 0.900
epoch  31, loss 0.3678, train acc 0.950, test acc 0.900
epoch  32, loss 0.3676, train acc 0.950, test acc 0.900
epoch  33, loss 0.3674, train acc 0.950, test acc 0.900
epoch  34, loss 0.3672, train acc 0.950, test acc 0.900
epoch  35, loss 0.3670, train acc 0.950, test acc 0.900
epoch  36, loss 0.3668, train acc 0.950, test acc 0.900
epoch  37, loss 0.3667, train acc 0.950, test acc 0.900
epoch  38, loss 0.3666, train acc 0.950, test acc 0.900
epoch  39, loss 0.3664, train acc 0.950, test acc 0.900
epoch  40, loss 0.3662, train acc 0.950, test acc 0.900
epoch  41, loss 0.3659, train acc 0.950, test acc 0.900
epoch  42, loss 0.3651, train acc 0.950, test acc 0.900
epoch  43, loss 0.3637, train acc 0.950, test acc 0.900
epoch  44, loss 0.3610, train acc 0.950, test acc 0.900
epoch  45, loss 0.3538, train acc 0.967, test acc 0.850
epoch  46, loss 0.3913, train acc 0.950, test acc 0.900
epoch  47, loss 0.3842, train acc 0.933, test acc 0.900
epoch  48, loss 0.3791, train acc 0.933, test acc 0.900
epoch  49, loss 0.3889, train acc 0.933, test acc 0.900
epoch  50, loss 0.3725, train acc 0.950, test acc 0.900
epoch  51, loss 0.3572, train acc 0.950, test acc 0.900
epoch  52, loss 0.3590, train acc 0.933, test acc 0.900
epoch  53, loss 0.3730, train acc 0.950, test acc 0.900
epoch  54, loss 0.3704, train acc 0.950, test acc 0.900
epoch  55, loss 0.3678, train acc 0.950, test acc 0.900
epoch  56, loss 0.3661, train acc 0.950, test acc 0.900
epoch  57, loss 0.3659, train acc 0.950, test acc 0.900
epoch  58, loss 0.3657, train acc 0.950, test acc 0.900
epoch  59, loss 0.3656, train acc 0.950, test acc 0.900
epoch  60, loss 0.3654, train acc 0.950, test acc 0.900
epoch  61, loss 0.3652, train acc 0.950, test acc 0.900
epoch  62, loss 0.3650, train acc 0.950, test acc 0.900
epoch  63, loss 0.3649, train acc 0.950, test acc 0.900
epoch  64, loss 0.3647, train acc 0.950, test acc 0.900
epoch  65, loss 0.3643, train acc 0.950, test acc 0.900
epoch  66, loss 0.3631, train acc 0.950, test acc 0.900
epoch  67, loss 0.3620, train acc 0.950, test acc 0.900
epoch  68, loss 0.3619, train acc 0.950, test acc 0.900
epoch  69, loss 0.3609, train acc 0.950, test acc 0.900
epoch  70, loss 0.3602, train acc 0.950, test acc 0.900
epoch  71, loss 0.3582, train acc 0.950, test acc 0.900
epoch  72, loss 0.3453, train acc 0.967, test acc 0.850
epoch  73, loss 0.3436, train acc 0.967, test acc 0.850
epoch  74, loss 0.3451, train acc 0.967, test acc 0.850
epoch  75, loss 0.3528, train acc 0.967, test acc 0.850
epoch  76, loss 0.3858, train acc 0.950, test acc 0.900
epoch  77, loss 0.3771, train acc 0.950, test acc 0.900
epoch  78, loss 0.3581, train acc 0.967, test acc 0.850
epoch  79, loss 0.3513, train acc 0.950, test acc 0.900
epoch  80, loss 0.3567, train acc 0.967, test acc 0.850
epoch  81, loss 0.3675, train acc 0.950, test acc 0.900
epoch  82, loss 0.3706, train acc 0.950, test acc 0.900
epoch  83, loss 0.3591, train acc 0.950, test acc 0.900
epoch  84, loss 0.3546, train acc 0.950, test acc 0.900
epoch  85, loss 0.3480, train acc 0.950, test acc 0.900
epoch  86, loss 0.3453, train acc 0.967, test acc 0.800
epoch  87, loss 0.3443, train acc 0.967, test acc 0.800
epoch  88, loss 0.3440, train acc 0.967, test acc 0.800
epoch  89, loss 0.3438, train acc 0.967, test acc 0.800
epoch  90, loss 0.3436, train acc 0.967, test acc 0.800
epoch  91, loss 0.3435, train acc 0.967, test acc 0.800
